5,Chomutov,Václav Homolka,KSČM,2,KSČM,red,Komunistická strana Čech a Moravy,1
31,Ústí nad Labem,Jaroslav Doubrava,S.cz,1,S.cz,#ff4444,Severočeši.cz,2
4,Most,Alena Dernerová,BEZPP,1,S.cz,#ff4444,nezařazení (Severočeši.cz),3
78,Zlín,František Čuba,SPO,0,SPO,pink,Strana práv občanů,4
49,Blansko,Jozef Regec,BEZPP,1,SPO,pink,Strana práv občanů,4
64,Bruntál,Jaroslav Palas,nezjištěno,1,SPO,pink,Strana práv občanů,4
44,Chrudim,Jan Veleba,BEZPP,2,SPO,pink,Strana práv občanů,4
3,Cheb,Miroslav Nenutil,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
12,Strakonice,Karel Kratochvíle,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
15,Pelhřimov,Milan Štěch,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
30,Kladno,Jiří Dienstbier,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
42,Kolín,Emilie Třísková,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
45,Hradec Králové,Jaroslav Malá,BEZPP,0,ČSSD,orange,Česká strana sociálně demokratická,5
48,Rychnov nad Kněžnou,Miroslav Antl,BEZPP,0,ČSSD,orange,Česká strana sociálně demokratická,5
54,Znojmo,Pavel štohl,BEZPP,0,ČSSD,orange,Česká strana sociálně demokratická,5
57,Vyškov,Ivo Bárek,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
75,Karviná,Radek Sušil,ČSSD,0,ČSSD,orange,Česká strana sociálně demokratická,5
7,Plzeň-město,Dagmar Terelmešová,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
37,Jičín,Josef Táborský,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
40,Kutná Hora,Jaromír Strnad,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
55,Brno-město,Jan Žaloudík,BEZPP,1,ČSSD,orange,Česká strana sociálně demokratická,5
61,Olomouc,Martin Tesařík,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
67,Nový Jičín,Zdeněk Besta,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
70,Ostrava-město,Antonín Maštalíř,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
73,Frýdek-Místek,Petr Gawlas,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
76,Kroměříž,Miloš Malý,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
79,Hodonín,Zdeněk Škromach,ČSSD,1,ČSSD,orange,Česká strana sociálně demokratická,5
2,Sokolov,Zdeněk Berka,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
8,Rokycany,Milada Emmerová,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
11,Domažlice,Jan Látka,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
20,Praha 4,Eva Syková,BEZPP,2,ČSSD,orange,Česká strana sociálně demokratická,5
29,Litoměřice,Hassan Mezian,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
38,Mladá Boleslav,Jaromír Jermář,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
47,Náchod,Lubomír Franc,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
50,Svitavy,Radko Martínek,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
53,Třebíč,František Bublan,BEZPP,2,ČSSD,orange,Česká strana sociálně demokratická,5
56,Břeclav,Jan Hajda,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
62,Prostějov,Božena Sekaninová,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
68,Opava,Vladimír Plaček,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
74,Karviná,Petr Vícha,ČSSD,2,ČSSD,orange,Česká strana sociálně demokratická,5
26,Praha 2,Libor Michálek,BEZPP,2,Piráti,black,Piráti,6
21,Praha 5,Václav Láska,BEZPP,0,Zelení,green,Zelení,7
63,Přerov,Jitka Seitlová,BEZPP,0,Zelení,green,Zelení,7
22,Praha 10,Ivana Cabrnochová,Zelení,1,Zelení,green,Zelení,7
59,Brno-město,Eliška Wagnerová,BEZPP,2,Zelení,green,Zelení,7
27,Praha 1,Václav Hampl,BEZPP,0,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
51,Žďár nad Sázavou,František Bradáč,KDU-ČSL,0,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
60,Brno-město,Zdeněk Papoušek,BEZPP,0,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
66,Olomouc,Alena Šromová,KDU-ČSL,0,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
69,Frýdek-Místek,Jiří Carbol,KDU-ČSL,0,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
43,Pardubice,Miluše Horská,BEZPP,1,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
46,Ústí nad Orlicí,Petr Šilar,KDU-ČSL,1,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
58,Brno-město,Stanislav Juránek,KDU-ČSL,1,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
77,Vsetín,Jiří Čunek,KDU-ČSL,2,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
80,Zlín,Patrik Kunčar,KDU-ČSL,2,KDU-ČSL,yellow,Křesťansko-demokratická unie – Československá strana lidová,8
6,Louny,Zdeňka Hamousová,BEZPP,0,ANO,#0bb,ANO 2011,8.5
24,Praha 9,Zuzana Baudyšová,BEZPP,0,ANO,#0bb,ANO 2011,8.5
39,Trutnov,Adolf Klepš,BEZPP,0,ANO,#0bb,ANO 2011,8.5
72,Ostrava-město,Peter Koliba,BEZPP,0,ANO,#0bb,ANO 2011,8.5
36,Česká Lípa,Jiří Vosecký,SLK,0,SLK,purple,Starostové pro Liberecký kraj,9
33,Děčín,Jaroslav Sykáček,BEZPP,0,TOPSTAN,purple,TOP09-STAN,9
1,Karlovy Vary,Jan Horník,BEZPP,1,TOPSTAN,purple,TOP09-STAN,9
14,České Budějovice,Jiří Šesták,HOPB,2,TOPSTAN,purple,TOP09-STAN,9
41,Benešov,Luděk Jeništa,BEZPP,2,TOPSTAN,purple,TOP09-STAN,9
65,Šumperk,Zdeněk Brož,BEZPP,2,TOPSTAN,purple,TOP09-STAN,9
71,Ostrava-město,Leopold Sulovský,BEZPP,2,TOPSTAN,purple,TOP09-STAN,9
81,Uherské Hradiště,Ivo Valenta,ScČR,0,SsČR,#FFF380,Strana soukromníků ČR,10
9,Plzeň-město,Lumír Aschenbrenner,ODS,0,ODS,blue,Občanská demokratická strana,11
18,Příbram,Jiří Burian,ODS,0,ODS,blue,Občanská demokratická strana,11
10,Český Krumlov,Tomáš Jirsa,ODS,1,ODS,blue,Občanská demokratická strana,11
13,Tábor,Pavel Eybert,ODS,1,ODS,blue,Občanská demokratická strana,11
16,Beroun,Jiří Oberfalzer,ODS,1,ODS,blue,Občanská demokratická strana,11
19,Praha 11,Milan Pešák,ODS,1,ODS,blue,Občanská demokratická strana,11
25,Praha 6,Petr Bratský,ODS,1,ODS,blue,Občanská demokratická strana,11
28,Mělník,Veronika Vrecionová,ODS,1,ODS,blue,Občanská demokratická strana,11
34,Liberec,Přemysl Sobotka,ODS,1,ODS,blue,Občanská demokratická strana,11
52,Jihlava,Miloš Vystrčil,ODS,1,ODS,blue,Občanská demokratická strana,11
17,Praha 12,Tomáš Grulich,ODS,2,ODS,blue,Občanská demokratická strana,11
23,Praha 8,Daniela Filipiová,ODS,2,ODS,blue,Občanská demokratická strana,11
32,Teplice,Jaroslav Kubera,ODS,2,ODS,blue,Občanská demokratická strana,11
35,Jablonec nad Nisou,Jaroslav Zeman,ODS,2,ODS,blue,Občanská demokratická strana,11
